Descriptor_ID,Description
DESC1137,Activate & Cultivate
DESC1130,Concur
DESC1142,DD level Overwritten
DESC1135,Field Managed
DESC1047,General Segment PSD 1
DESC1049,General Segment PSD 3
DESC1068,General Segment PXD 4
DESC1069,General Segment PXD 5
DESC0013,Global PE addendum
DESC1076,Integrate Pilot Member
DESC1140,Partner Led Territories
DESC1160,SAP Sovereign Cloud Partner
DESC1138,Tech Touch
